,PREDICTION TIME,OVERALL F1-SCORE,Overall_Reconnaissance_precision,Overall_Reconnaissance_recall,Overall_Reconnaissance_f1-score,Overall_Reconnaissance_support,Overall_Backdoor_precision,Overall_Backdoor_recall,Overall_Backdoor_f1-score,Overall_Backdoor_support,Overall_DoS_precision,Overall_DoS_recall,Overall_DoS_f1-score,Overall_DoS_support,Overall_Exploits_precision,Overall_Exploits_recall,Overall_Exploits_f1-score,Overall_Exploits_support,Overall_Analysis_precision,Overall_Analysis_recall,Overall_Analysis_f1-score,Overall_Analysis_support,Overall_Fuzzers_precision,Overall_Fuzzers_recall,Overall_Fuzzers_f1-score,Overall_Fuzzers_support,Overall_Worms_precision,Overall_Worms_recall,Overall_Worms_f1-score,Overall_Worms_support,Overall_Shellcode_precision,Overall_Shellcode_recall,Overall_Shellcode_f1-score,Overall_Shellcode_support,Overall_Generic_precision,Overall_Generic_recall,Overall_Generic_f1-score,Overall_Generic_support,Overall_Normal_precision,Overall_Normal_recall,Overall_Normal_f1-score,Overall_Normal_support,Overall_micro avg_precision,Overall_micro avg_recall,Overall_micro avg_f1-score,Overall_micro avg_support,Overall_macro avg_precision,Overall_macro avg_recall,Overall_macro avg_f1-score,Overall_macro avg_support,Overall_weighted avg_precision,Overall_weighted avg_recall,Overall_weighted avg_f1-score,Overall_weighted avg_support,Overall_0_precision,Overall_0_recall,Overall_0_f1-score,Overall_0_support,Overall_1_precision,Overall_1_recall,Overall_1_f1-score,Overall_1_support
Best kNN ORIG labels,446.7824196815,0.773931,0.634734,0.678490,0.655883,3496.000000,0.019149,0.030875,0.023638,583.000000,0.285593,0.247738,0.265322,4089.000000,0.589375,0.748473,0.659464,11132.000000,0.011579,0.016248,0.013522,677.000000,0.253227,0.563016,0.349335,6062.000000,1.000000,0.022727,0.044444,44.000000,0.490566,0.137566,0.214876,378.000000,0.991549,0.963754,0.977454,18871.000000,0.947332,0.693703,0.800917,37000.000000,,,,,0.522310,0.410259,0.400486,82332.000000,0.795487,0.717412,0.741173,82332.000000,,,,,,,,
Best kNN ORIG bin,376.4091756344,0.793976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864310,0.837415,0.842584,82332.000000,0.858790,0.848564,0.845689,82332.000000,0.918864,0.727243,0.811900,37000.000000,0.809757,0.947587,0.873267,45332.000000
Best kNN PCA labels,101.1845037937,0.597448,0.021898,0.013730,0.016878,3496.000000,0.020634,0.070326,0.031907,583.000000,0.122933,0.167278,0.141718,4089.000000,0.372167,0.507366,0.429375,11132.000000,0.053097,0.026588,0.035433,677.000000,0.116650,0.328110,0.172111,6062.000000,0.214286,0.068182,0.103448,44.000000,0.022561,0.089947,0.036074,378.000000,0.760313,0.576228,0.655593,18871.000000,0.803760,0.525703,0.635654,37000.000000,,,,,0.250830,0.237346,0.225819,82332.000000,0.602223,0.471141,0.515150,82332.000000,,,,,,,,
Best kNN PCA bin,881.6931240559,0.630178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.763142,0.713285,0.712157,82332.000000,0.756420,0.733603,0.720108,82332.000000,0.829564,0.512514,0.633589,37000.000000,0.696720,0.914056,0.790726,45332.000000
Best MLP ORIG labels,0.5211179256,0.786858,0.584495,0.191934,0.288975,3496.000000,0.000000,0.000000,0.000000,583.000000,0.214286,0.010271,0.019603,4089.000000,0.624838,0.737603,0.676554,11132.000000,0.000000,0.000000,0.000000,677.000000,0.221731,0.578687,0.320614,6062.000000,0.000000,0.000000,0.000000,44.000000,0.265993,0.208995,0.234074,378.000000,0.956622,0.945419,0.950987,18871.000000,0.895325,0.745297,0.813451,37000.000000,,,,,0.376329,0.341821,0.330426,82332.000000,0.759114,0.703590,0.712938,82332.000000,,,,,,,,
Best MLP ORIG bin,0.3781046867,0.806696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.879302,0.851085,0.856671,82332.000000,0.873306,0.862144,0.859505,82332.000000,0.938551,0.741811,0.828664,37000.000000,0.820053,0.960359,0.884678,45332.000000
Best MLP PCA labels,0.4974098206,0.581878,0.080736,0.102975,0.090509,3496.000000,0.000000,0.000000,0.000000,583.000000,0.158970,0.043776,0.068648,4089.000000,0.244337,0.551383,0.338620,11132.000000,0.002849,0.001477,0.001946,677.000000,0.145670,0.308809,0.197959,6062.000000,0.000000,0.000000,0.000000,44.000000,0.003263,0.005291,0.004036,378.000000,0.755045,0.503577,0.604190,18871.000000,0.757215,0.516216,0.613911,37000.000000,,,,,0.214808,0.203350,0.191982,82332.000000,0.568477,0.451283,0.482023,82332.000000,,,,,,,,
Best MLP PCA bin,0.0665500164,0.695949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737172,0.724587,0.726505,82332.000000,0.736280,0.734963,0.731372,82332.000000,0.745989,0.622054,0.678408,37000.000000,0.728355,0.827120,0.774602,45332.000000
Best SGD_Classifier ORIG labels,0.0323107243,0.794776,0.782609,0.005149,0.010230,3496.000000,0.000000,0.000000,0.000000,583.000000,0.265432,0.010516,0.020231,4089.000000,0.509238,0.727902,0.599246,11132.000000,0.000000,0.000000,0.000000,677.000000,0.257895,0.129330,0.172270,6062.000000,0.000000,0.000000,0.000000,44.000000,0.000000,0.000000,0.000000,378.000000,0.718198,0.967251,0.824324,18871.000000,0.826832,0.839324,0.833032,37000.000000,,,,,0.336020,0.267947,0.245933,82332.000000,0.670450,0.707574,0.658451,82332.000000,,,,,,,,
Best SGD_Classifier ORIG bin,0.0133280754,0.697141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.870845,0.789051,0.792908,82332.000000,0.858025,0.810280,0.798978,82332.000000,0.997533,0.579270,0.732928,37000.000000,0.744157,0.998831,0.852889,45332.000000
