,Best Params,F1-Score,Refit Time
Best kNN ORIG bin,"{'p': 1, 'n_neighbors': 1}",0.9284,214.41307200000003
Best kNN PCA bin,"{'p': 3, 'n_neighbors': 1}",0.9233,0.809455
Best kNN ORIG labels,"{'p': 1, 'n_neighbors': 11}",0.8358,218.06490699999998
Best kNN PCA labels,"{'p': 2, 'n_neighbors': 1}",0.8290000000000001,1.015296
Best MLP ORIG bin,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (5, 10, 10, 10, 10), 'batch_size': 30, 'alpha': 0.01, 'activation': 'tanh'}",0.9179,661.488941
Best MLP PCA bin,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (10, 10, 10), 'batch_size': 30, 'alpha': 0.01, 'activation': 'relu'}",0.9033,473.533132
Best MLP ORIG labels,"{'learning_rate_init': 0.01, 'hidden_layer_sizes': (10, 10, 10, 10, 10), 'batch_size': 200, 'alpha': 0.01, 'activation': 'tanh'}",0.8315,359.49690899999996
Best MLP PCA labels,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (10, 20, 20, 20, 20), 'batch_size': 200, 'alpha': 0.01, 'activation': 'relu'}",0.8227,492.82284100000004
Best SGD_Classifier ORIG bin,"{'max_iter': 1000, 'alpha': 0.0001}",0.8754,1.620532
Best SGD_Classifier PCA bin,"{'max_iter': 1000, 'alpha': 0.1}",0.8489,0.651107
Best SGD_Classifier ORIG labels,"{'max_iter': 100, 'alpha': 0.001}",0.7831,8.870237
Best SGD_Classifier PCA labels,"{'max_iter': 10000, 'alpha': 0.0001}",0.7204,9.979334
Best Random_Forest ORIG bin,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'entropy'}",0.9466,39.635018
Best Random_Forest PCA bin,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini'}",0.9246,14.108329000000001
Best Random_Forest ORIG labels,"{'n_estimators': 50, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini'}",0.8694,34.172971000000004
Best Random_Forest PCA labels,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'criterion': 'entropy'}",0.8391,888.0397939999997
Best Naive-Bayes ORIG bin,{},0.8290000000000001,0.356998
Best Naive-Bayes PCA bin,{},0.7661,0.206003
Best Naive-Bayes ORIG labels,{},0.5649,0.607321
Best Naive-Bayes PCA labels,{},0.6514,0.433625
